_id,title,keywords[0],keywords[1],keywords[2],keywords[3],keywords[4],keywords[5],keywords[6],authors[0],authors[1],authors[2],authors[3],authors[4],authors[5],authors[6],universeties[0],universeties[1],universeties[2],universeties[3],universeties[4],universeties[5],universeties[6],countries[0],countries[1],countries[2],countries[3],countries[4],countries[5],countries[6],year,month,journal,doi,issn,quartile,_class
6559e821017eac69eedce8a6,NutBaaS: A Blockchain-as-a-Service Platform, Blockchain, Peer-to-peer computing, Monitoring, Cloud computing, Smart contracts,,,Weilin Zheng,Zibin Zheng,Xiangping Chen,Kemian Dai,Peishan Li,Renfei Chen,,"Department of Blockchain Development, Badou Financial Blockchain Technology Company Ltd., Guangzhou, China","Sun Yat-Sen University, Guangzhou, Guangdong, CN",,,,,,China,China,,,,,,2019,September,IEEE,10.1109/ACCESS.2019.2941905,2169-3536,Q1,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559ea4cd98eae5efd9baa9b,Delay Analysis of Consensus Communication for Blockchain-Based Applications Using Network Calculus, Delays, Blockchains, Calculus, Task analysis, Complexity theory, Peer-to-peer computing, Mobile communication,Shengcheng Ma,Shuai Wang,Wei-Tek Tsai,,,,,"School of Computer Science and Engineering, Digital Society and Blockchain Laboratory, Beihang University, Beijing, China","School of Computer Science and Engineering, Beihang University, Beijing, China",,,,,,China,,,,,,,2022,June,IEEE,10.1109/LWC.2022.3183197,2162-2345,Q1,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559ea6ed98eae5efd9baa9c,Conditional Anonymous Remote Healthcare Data Sharing Over Blockchain, Medical services, Blockchains, Data privacy, Servers, Security, Cloud computing, Privacy,Jingwei Liu,Weiyang Jiang,Rong Sun,Ali Kashif Bashir,Mohammad Dahman Alshehri,Qiaozhi Hua,Keping Yu,"Department of Computing and Mathematics, Manchester Metropolitan University, Manchester, U.K.","Computer School, Hubei University of Arts and Science, Xiangyang, Hubei, China","Shaanxi Key Laboratory of Blockchain and Secure Computing, Xidian University, Xi’an, Shaanxi, China","Graduate School of Science and Engineering, Hosei University, Chiyoda City, Tokyo, Japan","Department of Computer Science, College of Computers and Information Technology, Taif University, Taif, Makkah, Saudi Arabia",,,Saudi Arabia,China,Japan,United Kingdom,,,,2022,June,IEEE,10.1109/JBHI.2022.3183397,2168-2208,Q3,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559ea8dd98eae5efd9baa9d,Meepo: Multiple Execution Environments per Organization in Sharded Consortium Blockchain, Blockchains, Smart contracts, Servers, Throughput, Topology, Merging, Electronic commerce,Peilin Zheng,Quanqing Xu,Zibin Zheng,Zhiyuan Zhou,Ying Yan,Hui Zhang,,"School of Software Engineering, Sun Yat-sen University, Zhuhai, China","Blockchain Platform Division, Ant Group, Hangzhou, China",,,,,,China,,,,,,,2022,October,IEEE,10.1109/JSAC.2022.3213326,1558-0008,,ma.ac.fstt.scrapingwithselenium.models.Article
6559eaaed98eae5efd9baa9e,A Lightweight and Attack-Proof Bidirectional Blockchain Paradigm for Internet of Things, Blockchains, Scalability, Consensus algorithm, Cryptography, Resistance, Internet of Things, Hash functions,Chenhao Xu,Youyang Qu,Tom H. Luan,Peter W. Eklund,Yong Xiang,Longxiang Gao,,"School of Information Technology, Deakin University, Geelong, VIC, Australia","School of Cyber Engineering, Xidian University, Xi’an, China","Deakin Blockchain Innovation Lab, School of Information Technology, Deakin University, Geelong, VIC, Australia",,,,,China,Australia,,,,,,2021,August,IEEE,10.1109/JIOT.2021.3103275,2327-4662,Q1,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559eaced98eae5efd9baa9f,Aeolus: Distributed Execution of Permissioned Blockchain Transactions via State Sharding, Blockchains, Servers, Smart contracts, Delays, Consensus protocol, Throughput, Security,Peilin Zheng,Quanqing Xu,Xiapu Luo,Zibin Zheng,Weilin Zheng,Xu Chen,Zhiyuan Zhou,"School of Computer Science and Engineering, Sun Yat-Sen University, Guangzhou, China","Blockchain Platform Division, Ant Group, Hangzhou, China","Department of Computing, The Hong Kong Polytechnic University, Hong Kong",,,,,Hong Kong,China,,,,,,2022,April,IEEE,10.1109/TII.2022.3164433,1941-0050,,ma.ac.fstt.scrapingwithselenium.models.Article
6559eaecd98eae5efd9baaa0,"Blockchain-Enabled Smart Contracts: Architecture, Applications, and Future Trends", Smart contracts, Blockchain, Bitcoin, Market research, Proposals,,,Shuai Wang,Liwei Ouyang,Yong Yuan,Xiaochun Ni,Xuan Han,Fei-Yue Wang,,"Parallel Blockchain Technology Innovation Center, Qingdao Academy of Intelligent Industries, Qingdao, China","University of Chinese Academy of Sciences, Beijing, China",,,,,,China,,,,,,,2019,February,IEEE,10.1109/TSMC.2019.2895123,2168-2232,Q3,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559eb0bd98eae5efd9baaa1,On the Design of Blockchain-Based ECDSA With Fault-Tolerant Batch Verification Protocol for Blockchain-Enabled IoMT, Blockchains, Bitcoin, Testing, Protocols, Time complexity, Public key, Elliptic curves,Hu Xiong,Chuanjie Jin,Mamoun Alazab,Kuo-Hui Yeh,Hanxiao Wang,Thippa Reddy Gadekallu,Weizheng Wang,"College of Engineering, IT, and Environment, Charles Darwin University, Casuarina, NT, Australia","School of Information and Software Engineering, University of Electronic Science and Technology of China, Chengdu, China","School of Information Technology and Engineering, Vellore Institute of Technology, Vellore, India","Department of Information Management, National Dong Hwa University, Hualien, Taiwan","Department of Computer Science, City University of Hong Kong, Hong Kong","Division of Computer Science, University of Aizu, Fukushima, Japan",,Hong Kong,China,Japan,Taiwan,Australia,India,,2021,September,IEEE,10.1109/JBHI.2021.3112693,2168-2208,Q3,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
6559eb29d98eae5efd9baaa2,MSTDB: A Hybrid Storage-Empowered Scalable Semantic Blockchain Database, Blockchains, Indexes, Semantics, Databases, Costs, Supply chains, Scalability,Enyuan Zhou,Zicong Hong,Yang Xiao,Dongxiao Zhao,Qingqi Pei,Song Guo,Rajendra Akerkar,"Department of Computing, Hong Kong Polytechnic University, Hung Hom, Hong Kong","State Key Laboratory of ISN, Shaanxi Key Laboratory of Blockchain and Secure Computing, Xidian University, Xi’an, Shaanxi, China","State Key Laboratory of ISN, School of Cyber Engineering, Xidian University, Xi’an, Shaanxi, China","Big Data Research Group, Western Norway Research Institute, Sogndal, Norway",,,,Hong Kong,Norway,China,,,,,2022,November,IEEE,10.1109/TKDE.2022.3220522,1558-2191,,ma.ac.fstt.scrapingwithselenium.models.Article
6559eb47d98eae5efd9baaa3,Circuit Copyright Blockchain: Blockchain-Based Homomorphic Encryption for IP Circuit Protection, Blockchain, IP networks, Encryption, Integrated circuits, Contracts,,,Wei Liang,Dafang Zhang,Xia Lei,Mingdong Tang,Kuan-Ching Li,Albert Y. Zomaya,,"Department of Computer Science and Information Engineering (CSIE), Providence University, Taichung, Taiwan","Department of Computer Science and Technology, China University of Petroleum, Beijing, China","College of Computer Science and Electronic Engineering, Hunan University, Changsha, China","School of Information Science and Technology, Guangdong University of Foreign Studies, Guangzhou, China","School of Computer Science, The University of Sydney, Sydney, NSW, Australia",,,China,Taiwan,Australia,,,,,2020,May,IEEE,10.1109/TETC.2020.2993032,2168-6750,Q3,ma.ac.fstt.scrapingwithselenium.models.ArticleDetails
