Title,Authors,HTML Link,PDF Link,Abstract,Published in,Date of Publication,Page(s),Electronic ISSN,PubMed ID,DOI,DOI Link,Publisher
Assessing Trustworthy AI in Times of COVID-19: Deep Learning for Predicting a Multiregional Score Conveying the Degree of Lung Compromise in COVID-19 Patients,Himanshi Allahabadi; Julia Amann; Isabelle Balot; Andrea Beretta; Charles Binkley; Jonas Bozenhard; Frédérick Bruneault; James Brusseau; Sema Candemir; Luca Alessandro Cappellini; Subrata Chakraborty; Nicoleta Cherciu; Christina Cociancig; Megan Coffee; Irene Ek; Leonardo Espinosa-Leal; Davide Farina; Geneviève Fieux-Castagnet; Thomas Frauenfelder; Alessio Gallucci; Guya Giuliani; Adam Golda; Irmhild van Halem; Elisabeth Hildt; Sune Holm; Georgios Kararigas; Sébastien A. Krier; Ulrich Kühne; Francesca Lizzi; Vince I. Madai; Aniek F. Markus; Serg Masis; Emilie Wiinblad Mathez; Francesco Mureddu; Emanuele Neri; Walter Osika; Matiss Ozols; Cecilia Panigutti; Brendan Parent; Francesca Pratesi; Pedro A. Moreno-Sánchez; Giovanni Sartor; Mattia Savardi; Alberto Signoroni; Hanna-Maria Sormunen; Andy Spezzatti; Adarsh Srivastava; Annette F. Stephansen; Lau Bee Theng; Jesmin Jahan Tithi; Jarno Tuominen; Steven Umbrello; Filippo Vaccher; Dennis Vetter; Magnus Westerlund; Renee Wurth; Roberto V. Zicari; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ,https://ieeexplore.ieee.org/document/9845195/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9845195,"This article’s main contributions are twofold: 1) to demonstrate how to apply the general European Union’s High-Level Expert Group’s (EU HLEG) guidelines for trustworthy AI in practice for the domain of healthcare and 2) to investigate the research question of what does “trustworthy AI” mean at the time of the COVID-19 pandemic. To this end, we present the results of a post-hoc self-assessment to evaluate the trustworthiness of an AI system for predicting a multiregional score conveying the degree of lung compromise in COVID-19 patients, developed and verified by an interdisciplinary team with members from academia, public hospitals, and industry in time of pandemic. The AI system aims to help radiologists to estimate and communicate the severity of damage in a patient’s lung from Chest X-rays. It has been experimentally deployed in the radiology department of the ASST Spedali Civili clinic in Brescia, Italy, since December 2020 during pandemic time. The methodology we have applied for our post-hoc assessment, called Z-Inspection®, uses sociotechnical scenarios to identify ethical, technical, and domain-specific issues in the use of the AI system in the context of the pandemic.",IEEE Transactions on Technology and Society,29 July 2022,272 - 289,2637-6415,36573115,10.1109/TTS.2022.3195114,https://doi.org/10.1109/TTS.2022.3195114,IEEE
It is Not “Accuracy vs. Explainability”—We Need Both for Trustworthy AI Systems,Dragutin Petkovic; ,https://ieeexplore.ieee.org/document/10029927/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10029927,"We are witnessing the emergence of an “AI economy and society” where AI technologies and applications are increasingly impacting health care, business, transportation, defense and many aspects of everyday life. Many successes have been reported where AI systems even surpassed the accuracy of human experts. However, AI systems may produce errors, can exhibit bias, may be sensitive to noise in the data, and often lack technical and judicial transparency resulting in reduction in trust and challenges to their adoption. These recent shortcomings and concerns have been documented in both the scientific and general press such as accidents with self-driving cars, biases in healthcare or hiring and face recognition systems for people of color, and seemingly correct decisions later found to be made due to wrong reasons etc. This has resulted in the emergence of many government and regulatory initiatives requiring trustworthy and ethical AI to provide accuracy and robustness, some form of explainability, human control and oversight, elimination of bias, judicial transparency and safety. The challenges in delivery of trustworthy AI systems have motivated intense research on explainable AI systems (XAI). The original aim of XAI is to provide human understandable information of how AI systems make their decisions in order to increase user trust. In this paper we first very briefly summarize current XAI work and then challenge the recent arguments that present “accuracy vs. explainability” as being mutually exclusive and for focusing mainly on deep learning with its limited XAI capabilities. We then present our recommendations for the broad use of XAI in all stages of delivery of high stakes trustworthy AI systems, e.g., development; validation/certification; and trustworthy production and maintenance.",IEEE Transactions on Technology and Society,30 January 2023,46 - 53,2637-6415,,10.1109/TTS.2023.3239921,https://doi.org/10.1109/TTS.2023.3239921,IEEE
"The Generative AI Landscape in Education: Mapping the Terrain of Opportunities, Challenges, and Student Perception",Zishan Ahmed; Shakib Sadat Shanto; Most. Humayra Khanom Rime; Md. Kishor Morol; Nafiz Fahad; Md. Jakir Hossen; Md. Abdullah-Al-Jubair; ; ; ; ; ; ; ,https://ieeexplore.ieee.org/document/10681094/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10681094,"Generative AI (GAI) technologies like ChatGPT are permanently changing academic education. Their integration opens up vast opportunities for bespoke learning and better student interaction but also brings about academic honesty issues and the application of real-life educators. This study aims to fill the literature gap regarding the use of multiple GAI tools and their effect on academic outcomes via a comprehensive review. A systematic literature review was performed following PRISMA guidelines to synthesize results on the potential and drawbacks of GAI in educational domains. We included theoretical and empirical papers that used qualitative, quantitative, or mixed-methods study designs. We have also explored conceptual frameworks and the most creative AI applications with a special emphasis on uniqueness and practicability. Experiences, and Perceptions Concerning To compile the information needed we gathered insights into what students were going through by conducting the survey which contains 200 respondents of undergraduate university students gathering insights into the college students’ experiences and perceptions related to GAI used for educational purposes. At the basic level, GAI comprises areas like personalization, task automation, teacher assistance, and efficiency among others, and respective solutions for the immersion of a learner in learning processes to reform directions. However, it generates plenty of challenges such as the question of assessment integrity, the risk that too much automated grading could overwhelm educational value, and relevantly the veracity of AI-generated content as well as the potential disruption to skills like critical thinking, in addition to data privacy and ethical issues. Student Perception Survey the text also indicates that most students, as per the student perception survey found AI systems useful in academic support. However, they also know the other side of the coin and are very familiar with the technology constra...",IEEE Access,16 September 2024,147023 - 147050,2169-3536,,10.1109/ACCESS.2024.3461874,https://doi.org/10.1109/ACCESS.2024.3461874,IEEE
SmartQuant: CXL-Based AI Model Store in Support of Runtime Configurable Weight Quantization,Rui Xie; Asad Ul Haq; Linsen Ma; Krystal Sun; Sanchari Sen; Swagath Venkataramani; Liu Liu; Tong Zhang; ; ; ; ; ; ; ; ,https://ieeexplore.ieee.org/document/10663202/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10663202,"Recent studies have revealed that, during the inference on generative AI models such as transformer, the importance of different weights exhibits substantial context-dependent variations. This naturally manifests a promising potential of adaptively configuring weight quantization to improve the generative AI inference efficiency. Although configurable weight quantization can readily leverage the hardware support of variable-precision arithmetics in modern GPU and AI accelerators, little prior research has studied how one could exploit variable weight quantization to proportionally improve the AI model memory access speed and energy efficiency. Motivated by the rapidly maturing CXL ecosystem, this work develops a CXL-based design solution to fill this gap. The key is to allow CXL memory controllers play an active role in supporting and exploiting runtime configurable weight quantization. Using transformer as a representative generative AI model, we carried out experiments that well demonstrate the effectiveness of the proposed design solution.",IEEE Computer Architecture Letters,02 September 2024,199 - 202,,,10.1109/LCA.2024.3452699,https://doi.org/10.1109/LCA.2024.3452699,IEEE
mTREE: A Customized Multicast-Enabled Tree-Based Network on Chip for AI Chips,Yong Zheng; Haigang Yang; Yi Shu; Yiping Jia; Zhihong Huang; ; ; ; ; ,https://ieeexplore.ieee.org/document/9684541/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9684541,"The network on chip (NoC) used in the AI chip is required to be able to deliver data to multiple destination endpoints simultaneously. The existing solutions, such as hierarchial mesh (HMESH) and FATTREE all modify the connection between routers to achieve multicasting. Although this method can achieve delivering data to multiple destination endpoints at the same time, it significantly increases the number of routers used and, therefore, brings a huge additional area and power consumption overhead. In order to solve this problem, this work designed a customized multicast-enabled tree-based NoC, named mTREE, by modifying the microarchitecture of the router, including the routing calculation unit, credit counter, and switch allocator. When implemented on Arria10 FPGA, mTREE only brings a 1% increase in resource utilization compared with the traditional tree-topology NoC. Compared with two other multicast-enabled NoCs: 1) FATTREE and 2) HMESH, mTREE can reach a
3.19×
–
3.50×
and
1.67×
–
3.02×
reduction in resource utilization, respectively, and a
4.81×
–
8.01×
and
2.85×
–
3.03×
reduction in energy consumption, respectively.",IEEE Embedded Systems Letters,18 January 2022,143 - 146,,,10.1109/LES.2022.3144196,https://doi.org/10.1109/LES.2022.3144196,IEEE
A Survey of Real-Time Strategy Game AI Research and Competition in StarCraft,Santiago Ontañón; Gabriel Synnaeve; Alberto Uriarte; Florian Richoux; David Churchill; Mike Preuss; ; ; ; ; ; ,https://ieeexplore.ieee.org/document/6637024/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6637024,"This paper presents an overview of the existing work on AI for real-time strategy (RTS) games. Specifically, we focus on the work around the game StarCraft, which has emerged in the past few years as the unified test bed for this research. We describe the specific AI challenges posed by RTS games, and overview the solutions that have been explored to address them. Additionally, we also present a summary of the results of the recent StarCraft AI competitions, describing the architectures used by the participants. Finally, we conclude with a discussion emphasizing which problems in the context of RTS game AI have been solved, and which remain open.",IEEE Transactions on Computational Intelligence and AI in Games,18 October 2013,293 - 311,,,10.1109/TCIAIG.2013.2286295,https://doi.org/10.1109/TCIAIG.2013.2286295,IEEE
Unraveling ML Models of Emotion With NOVA: Multi-Level Explainable AI for Non-Experts,Alexander Heimerl; Katharina Weitz; Tobias Baur; Elisabeth André; ; ; ; ,https://ieeexplore.ieee.org/document/9288932/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9288932,"In this article, we introduce a next-generation annotation tool called NOVA for emotional behaviour analysis, which implements a workflow that interactively incorporates the ‘human in the loop’. A main aspect of NOVA is the possibility of applying semi-supervised active learning where Machine Learning techniques are used already during the annotation process by giving the possibility to pre-label data automatically. Furthermore, NOVA implements recent eXplainable AI (XAI) techniques to provide users with both, a confidence value of the automatically predicted annotations, as well as visual explanations. We investigate how such techniques can assist non-experts in terms of trust, perceived self-efficacy, cognitive workload as well as creating correct mental models about the system by conducting a user study with 53 participants. The results show that NOVA can easily be used by non-experts and lead to a high computer self-efficacy. Furthermore, the results indicate that XAI visualisations help users to create more correct mental models about the machine learning system compared to the baseline condition. Nevertheless, we suggest that explanations in the field of AI have to be more focused on user-needs as well as on the classification task and the model they want to explain.",IEEE Transactions on Affective Computing,09 December 2020,1155 - 1167,,,10.1109/TAFFC.2020.3043603,https://doi.org/10.1109/TAFFC.2020.3043603,IEEE
AIS-PVT: Long-Time AIS Data Assisted Pyramid Vision Transformer for Sea-Land Segmentation in Dual-Polarization SAR Imagery,Jiaqiu Ai; Weibao Xue; Yanan Zhu; Shuo Zhuang; Congan Xu; Hao Yan; Lifu Chen; Zhaocheng Wang; ; ; ; ; ; ; ; ,https://ieeexplore.ieee.org/document/10648835/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10648835,"Traditional synthetic aperture radar (SAR) image sea-land segmentation algorithms overlook the ship distribution priori-information provided by the automatic identification system (AIS) data, resulting in poor segmentation performance in complex environments such as ports, marine wetlands, beaches, and other sea-land boundaries. To address the above issues, this article comprehensively uses dual-polarization (VV and VH) SAR images and AIS data as the data source, and it specifically proposes a novel pyramid vision transformer (PVT) assisted by the long-time AIS data (AIS-PVT) for sea-land segmentation. AIS-PVT is the first attempt to integrate the ship distribution density priori-information, provided by the long-time AIS data, into the PVT network, thus the multiscale features of the sea and land can be better distinguished. In the decoding stage, we design a feature filter module (FFM). It aggregates features separately along two spatial directions from the skip connections, enhancing the representation of objects of interest while reducing the influence of redundant information. Furthermore, we develop a boundary-pixel-aware function to steer the model training process, allowing AIS-PVT to concentrate more on the neighborhood information of boundary pixels. Importantly, the AIS-PVT method captures global multiscale information and enhances the model’s data fusion capability. The conclusive experimental results demonstrate the superior performance of our approach in sea-land segmentation tasks, outperforming other state-of-the-art (SOTA) techniques.",IEEE Transactions on Geoscience and Remote Sensing,26 August 2024,,,,10.1109/TGRS.2024.3449894,https://doi.org/10.1109/TGRS.2024.3449894,IEEE
Explainable AI for Cheating Detection and Churn Prediction in Online Games,Jianrong Tao; Yu Xiong; Shiwei Zhao; Runze Wu; Xudong Shen; Tangjie Lyu; Changjie Fan; Zhipeng Hu; Sha Zhao; Gang Pan; ; ; ; ; ; ; ; ; ; ,https://ieeexplore.ieee.org/document/9772248/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9772248,"Online gaming is a multibillion dollar industry that entertains a large, global population. Empowering online games with AI has made a great success, however, ignores the explainability of black-box model makes AI less responsible and hinders its further development. In this article, we introduce and discuss the audience and the concept of XAI (eXplainable AI) in online games. We propose a GXAI workflow, which combines the strong expressiveness of multiview data sources and the clear transparency of multiview black-box models. We present four specific classifiers and explainers in the character portrait view, the behavior sequence view, the client image view, and the social graph view. Experiments conducted on real-world datasets for game cheating detection and player churn prediction show the accuracy of classification and the rationality of explanation. We also discover and present numerous interesting and valuable findings from the individual, local, and global explanations. We implement and deploy three practical applications, including evidence and reason generation, model debugging and testing, and model compression and comparison in NetEase Games and have received quite positive reviews from user studies. More future work is in progress since this is the first work that introduces XAI in online games.",IEEE Transactions on Games,10 May 2022,242 - 251,,,10.1109/TG.2022.3173399,https://doi.org/10.1109/TG.2022.3173399,IEEE
Towards Measuring Fairness in AI: The Casual Conversations Dataset,Caner Hazirbas; Joanna Bitton; Brian Dolhansky; Jacqueline Pan; Albert Gordo; Cristian Canton Ferrer; ; ; ; ; ; ,https://ieeexplore.ieee.org/document/9634168/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9634168,"This paper introduces a novel dataset to help researchers evaluate their computer vision and audio models for accuracy across a diverse set of age, genders, apparent skin tones and ambient lighting conditions. Our dataset is composed of 3,011 subjects and contains over 45,000 videos, with an average of 15 videos per person. The videos were recorded in multiple U.S. states with a diverse set of adults in various age, gender and apparent skin tone groups. A key feature is that each subject agreed to participate for their likenesses to be used. Additionally, our age and gender annotations are provided by the subjects themselves. A group of trained annotators labeled the subjects’ apparent skin tone using the Fitzpatrick skin type scale. Moreover, annotations for videos recorded in low ambient lighting are also provided. As an application to measure robustness of predictions across certain attributes, we provide a comprehensive study on the top five winners of the DeepFake Detection Challenge (DFDC). Experimental evaluation shows that the winning models are less performant on some specific groups of people, such as subjects with darker skin tones and thus may not generalize to all people. In addition, we also evaluate the state-of-the-art apparent age and gender classification methods. Our experiments provides a thorough analysis on these models in terms of fair treatment of people from various backgrounds.","IEEE Transactions on Biometrics, Behavior, and Identity Science",03 December 2021,324 - 332,2637-6407,,10.1109/TBIOM.2021.3132237,https://doi.org/10.1109/TBIOM.2021.3132237,IEEE
