Title,Authors,HTML Link,PDF Link,Abstract,Published in,Date of Publication,Page(s),Electronic ISSN,PubMed ID,DOI,DOI Link,Publisher
Random Sample Partition: A Distributed Data Model for Big Data Analysis,Salman Salloum; Joshua Zhexue Huang; Yulin He; ; ; ,https://ieeexplore.ieee.org/document/8706990/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8706990,"With the ever-increasing volume of data, alternative strategies are required to divide big data into statistically consistent data blocks that can be used directly as representative samples of the entire data set in big data analysis. In this paper, we propose the Random Sample Partition (RSP) distributed data model to represent a big data set as a set of disjoint data blocks, called RSP blocks. Each RSP block has a probability distribution similar to that of the entire data set. RSP blocks can be used to estimate the statistical properties of the data and build predictive models without computing the entire data set. We demonstrate the implications of the RSP model on sampling from big data and introduce a new RSP-based method for approximate big data analysis which can be applied to different scenarios in the industry. This method significantly reduces the computational burden of big data and increases the productivity of data scientists.",IEEE Transactions on Industrial Informatics,06 May 2019,5846 - 5854,,,10.1109/TII.2019.2912723,https://doi.org/10.1109/TII.2019.2912723,IEEE
Distributed Data Strategies to Support Large-Scale Data Analysis Across Geo-Distributed Data Centers,Tamer Z. Emara; Joshua Zhexue Huang; ; ,https://ieeexplore.ieee.org/document/9208652/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9208652,"As the volume of data grows rapidly, storing big data in a single data center is no longer feasible. Hence, companies have developed two scenarios to store their big data in multiple data centers. In the first scenario, the company's big data are distributed in multiple data centers without data replication. In the second scenario, data are also stored in multiple data centers but important data are replicated in these data centers to increase data safety and availability. However, in these scenarios, analyzing big data distributed in multiple data centers becomes a challenging task. In this paper, we propose two data distribution strategies to support big data analysis across geo-distributed data centers. In these strategies, we use the recent Random Sample Partition data model to convert big data into sets of random sample data blocks and distribute these data blocks into multiple data centers either without replication or with replication. In analyzing big data in multiple data centers without replication, we randomly select samples of data blocks from multiple data centers and download the sample data blocks to one data center for analysis. In the second strategy with replication of data blocks, we can analyze big data on any data center by randomly selecting a sample of data blocks replicated from other data centers. This strategy avoids data transformation between data centers. We demonstrate the performance of the two strategies in big data analysis by using simulation results produced on one local data center and four AWS data centers in North America, Asia, and Australia.",IEEE Access,29 September 2020,178526 - 178538,2169-3536,,10.1109/ACCESS.2020.3027675,https://doi.org/10.1109/ACCESS.2020.3027675,IEEE
Big Data for Remote Sensing: Challenges and Opportunities,Mingmin Chi; Antonio Plaza; Jón Atli Benediktsson; Zhongyi Sun; Jinsheng Shen; Yangyong Zhu; ; ; ; ; ; ,https://ieeexplore.ieee.org/document/7565634/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7565634,"Every day a large number of Earth observation (EO) spaceborne and airborne sensors from many different countries provide a massive amount of remotely sensed data. Those data are used for different applications, such as natural hazard monitoring, global climate change, urban planning, etc. The applications are data driven and mostly interdisciplinary. Based on this it can truly be stated that we are now living in the age of big remote sensing data. Furthermore, these data are becoming an economic asset and a new important resource in many applications. In this paper, we specifically analyze the challenges and opportunities that big data bring in the context of remote sensing applications. Our focus is to analyze what exactly does big data mean in remote sensing applications and how can big data provide added value in this context. Furthermore, this paper describes the most challenging issues in managing, processing, and efficient exploitation of big data for remote sensing problems. In order to illustrate the aforementioned aspects, two case studies discussing the use of big data in remote sensing are demonstrated. In the first test case, big data are used to automatically detect marine oil spills using a large archive of remote sensing data. In the second test case, content-based information retrieval is performed using high-performance computing (HPC) to extract information from a large database of remote sensing images, collected after the terrorist attack to the World Trade Center in New York City. Both cases are used to illustrate the significant challenges and opportunities brought by the use of big data in remote sensing applications.",Proceedings of the IEEE,13 September 2016,2207 - 2219,,,10.1109/JPROC.2016.2598228,https://doi.org/10.1109/JPROC.2016.2598228,IEEE
Cybersecurity in Big Data Era: From Securing Big Data to Data-Driven Security,Danda B. Rawat; Ronald Doku; Moses Garuba; ; ; ,https://ieeexplore.ieee.org/document/8673585/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8673585,"‘‘Knowledge is power” is an old adage that has been found to be true in today’s information age. Knowledge is derived from having access to information. The ability to gather information from large volumes of data has become an issue of relative importance. Big Data Analytics (BDA) is the term coined by researchers to describe the art of processing, storing and gathering large amounts of data for future examination. Data is being produced at an alarming rate. The rapid growth of the Internet, Internet of Things (IoT) and other technological advances are the main culprits behind this sustained growth. The data generated is a reflection of the environment it is produced out of, thus we can use the data we get out of systems to figure out the inner workings of that system. This has become an important feature in cybersecurity where the goal is to protect assets. Furthermore, the growing value of data has made big data a high value target. In this paper, we explore recent research works in cybersecurity in relation to big data. We highlight how big data is protected and how big data can also be used as a tool for cybersecurity. We summarize recent works in the form of tables and have presented trends, open research challenges and problems. With this paper, readers can have a more thorough understanding of cybersecurity in the big data era, as well as research trends and open challenges in this active research area.",IEEE Transactions on Services Computing,25 March 2019,2055 - 2072,,,10.1109/TSC.2019.2907247,https://doi.org/10.1109/TSC.2019.2907247,IEEE
A Big Data-as-a-Service Framework: State-of-the-Art and Perspectives,Xiaokang Wang; Laurence T. Yang; Huazhong Liu; M. Jamal Deen; ; ; ; ,https://ieeexplore.ieee.org/document/8053816/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8053816,"Due to the rapid advances of information technologies, Big Data, recognized with 4Vs characteristics (volume, variety, veracity, and velocity), bring significant benefits as well as many challenges. A major benefit of Big Data is to provide timely information and proactive services for humans. The primary purpose of this paper is to review the current state-of-the-art of Big Data from the aspects of organization and representation, cleaning and reduction, integration and processing, security and privacy, analytics and applications, then present a novel framework to provide high-quality so called Big Data-as-a-Service. The framework consists of three planes, namely sensing plane, cloud plane and application plane, to systemically address all challenges of the above aspects. Also, to clearly demonstrate the working process of the proposed framework, a tensor-based multiple clustering on bicycle renting and returning data is illustrated, which can provide several suggestions for rebalancing of the bicycle-sharing system. Finally, some challenges about the proposed framework are discussed.",IEEE Transactions on Big Data,29 September 2017,325 - 340,,,10.1109/TBDATA.2017.2757942,https://doi.org/10.1109/TBDATA.2017.2757942,IEEE
An Asymptotic Ensemble Learning Framework for Big Data Analysis,Salman Salloum; Joshua Zhexue Huang; Yulin He; Xiaojun Chen; ; ; ; ,https://ieeexplore.ieee.org/document/8586790/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8586790,"In order to enable big data analysis when data volume goes beyond the available computing resources, we propose a new method for big data analysis. This method uses only a few random sample data blocks of a big data set to obtain approximate results for the entire data set. The random sample partition (RSP) distributed data model is used to represent a big data set as a set of non-overlapping random sample data blocks. Each block is saved as an RSP data block file that can be used directly to estimate the statistical properties of the entire data set. A subset of RSP data blocks is randomly selected and analyzed with existing sequential algorithms in parallel. Then, the results from these blocks are combined to obtain ensemble estimates and models which can be improved gradually by appending new results from the newly analyzed RSP data blocks. To this end, we propose a distributed data-parallel framework (Alpha framework) and develop a prototype of this framework using Microsoft R Server packages and Hadoop distributed file system. The experimental results of three real data sets show that a subset of RSP data blocks of a data set is sufficient to obtain estimates and models which are equivalent to those computed from the entire data set.",IEEE Access,23 December 2018,3675 - 3693,2169-3536,,10.1109/ACCESS.2018.2889355,https://doi.org/10.1109/ACCESS.2018.2889355,IEEE
Research on the Impact of Big Data Capabilities on Government’s Smart Service Performance: Empirical Evidence From China,Airong Zhang; Na Lv; ; ,https://ieeexplore.ieee.org/document/9344686/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9344686,"The government of China seeks to improve e-government service quality and build a service-oriented government that citizens find satisfactory. To this end, big data is being used as a new tool of government service innovation. However, there is a lack of research on how big data affects the performance of government smart services. This article explores the influence mechanisms of government big data capabilities on the performance of smart service provision, utilizing the carding analysis of relevant literature, published both in China and abroad. To this end, a structural equation model was constructed. Using data from 289 valid questionnaires in Jiangsu, Shandong, Zhejiang, and other provinces and cities in China, the study tests internal mechanisms of big data capabilities and its effect on smart service performance. Following a new definition of government big data capability, the paper divides the capability into three dimensions: big data system capability, big data human capability and big data management capability. The main conclusions are as follows: (1) Big data management capability has a significant positive impact on big data human capability and big data system capability. (2) Big data system capability has a significant positive impact on big data human capability. (3) Big data system capability and big data management capability have a significant positive effect on smart service performance. (4) The impact of big data human capability on smart service performance is not however significant enough to bring about the improvements which the government seeks.",IEEE Access,02 February 2021,50523 - 50537,2169-3536,,10.1109/ACCESS.2021.3056486,https://doi.org/10.1109/ACCESS.2021.3056486,IEEE
Big Data Meet Green Challenges: Greening Big Data,Jinsong Wu; Song Guo; Jie Li; Deze Zeng; ; ; ; ,https://ieeexplore.ieee.org/document/7473821/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7473821,"Nowadays, there are two significant tendencies, how to process the enormous amount of data, big data, and how to deal with the green issues related to sustainability and environmental concerns. An interesting question is whether there are inherent correlations between the two tendencies in general. To answer this question, this paper firstly makes a comprehensive literature survey on how to green big data systems in terms of the whole life cycle of big data processing, and then this paper studies the relevance between big data and green metrics and proposes two new metrics, effective energy efficiency and effective resource efficiency in order to bring new views and potentials of green metrics for the future times of big data.",IEEE Systems Journal,19 May 2016,873 - 887,,,10.1109/JSYST.2016.2550538,https://doi.org/10.1109/JSYST.2016.2550538,IEEE
Curriculum Reform in Big Data Education at Applied Technical Colleges and Universities in China,Xin Li; Xiaoping Fan; Xilong Qu; Guang Sun; Chen Yang; Biao Zuo; Zhifang Liao; ; ; ; ; ; ; ,https://ieeexplore.ieee.org/document/8822937/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8822937,"With the boom in data science, big data education has received increasing attention from all kinds of colleges and universities in China, and many of them are in a rush to offer big data education. This paper first analyzes the major areas of big data capability training and the Chinese market needs for various kinds of data science talent. Then, it discusses the curriculum design process for the “Data Science & Big Data Technology” bachelor's degree program, and summarizes some detailed approaches to improving teaching experiments. Finally, this paper proposes a graduating student profile for big data education at applied technical colleges and universities in China. The authors' main ideas include that, at the applied technical colleges and universities, a) a suitable graduating student orientation should be determined as the big data talent needs are hierarchical; b) the redesigned curriculum in big data education should provide students more practical capabilities and knowledge; c) the teaching of the existing mainstream big data technologies and tools should be significant components in the syllabi of big data education.",IEEE Access,03 September 2019,125511 - 125521,2169-3536,,10.1109/ACCESS.2019.2939196,https://doi.org/10.1109/ACCESS.2019.2939196,IEEE
Chronic Diseases and Health Monitoring Big Data: A Survey,Rongheng Lin; Zezhou Ye; Hao Wang; Budan Wu; ; ; ; ,https://ieeexplore.ieee.org/document/8345663/,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8345663,"With the advancement of technology in data science and network technology, the world has stepped into the Era of Big Data, and the medical field is rich in data suitable for analysis. Thus, in recent years, there has been much research in medical big data, mainly targeting data collection, data analysis, and visualization. However, very few works provide a full survey of the medical big data on chronic diseases and health monitoring. This review investigates recent research efforts and conducts a comprehensive overview of the work on medical big data, especially as related to chronic diseases and health monitoring. It focuses on the full cycles of the big data processing, which includes medical big data preprocessing, big data tools and algorithms, big data visualization, and security issues in big data. It also attempts to combine common big data technologies with special medical needs by analyzing in detail existing works of medical big data. To the best of our knowledge, this is the first survey that targets chronic diseases and health monitoring big data technologies.",IEEE Reviews in Biomedical Engineering,24 April 2018,275 - 288,,29993699,10.1109/RBME.2018.2829704,https://doi.org/10.1109/RBME.2018.2829704,IEEE
